nom,pays,début de fabrication,fin de fabrication,note,Date d'acquisition
Fex Indo Super-Boy,France,1955,1959,,
Pontiac Bloc Metal 45 AS,France,1946,1953,(Peut etre 1940-1953),
Goldy goldy,France,1948,1960,,
Coronet fildia,France,1942,1952,,
Gaf 64,Japon,1974,1974,doute année,
Kodak vest pocket model b,USA,1925,1934,,
Kodak Brownie Junior Six-16 (avec pellicule),USA,1933,1942,avec pellicule,
Miom photax III,France,1946,1961,,
Kodak retinette 1b,Allemagne,1959,1963,,
Kodak N° 2 Folding Hawkeye (mod. B),USA,1926,1926,,
Kodak N° 2 Folding Cartridge Hawkeye (mod. B),USA,1926,1926,,
Agfa clack,Allemagne,1954,1965,,
Agfa clack,Allemagne,1954,1965,,
Agfa clack,Allemagne,1954,1965,,
Fex Indo Ultra-Fex (version 11),France,1950,1950,,
Dacora Instacora-E version 4,Allemagne,1966,1966,,
KODAK SIX-20 BULL'S EYE BROWNIE,USA,1938,1941,,
Miom Photax V,France,1955,1962,,
Gevaert Gevabox 6x9,Allemagne,1951,1951,commande belge,
Coronet Box Eclair,France,1950,1951,,
Kunik petie,Allemagne,1959,1962,,
Agfa billy I,Allemagne,1953,1958,,
Minolta xg1 ,Japon,1979,1984,papa,
Gomz smena 6,URSS,1961,1969,,
Gomz smena 8m,URSS,1970,1993,,
Gomz lubitel 2,URSS,1949,1980,,
Coronet 6x9 folding,France,1947,1950,,
Kodak six-20 Brownie c,Grande-bretagne,1946,1953,,
Elliot vp twin,Grande-bretagne,1937,1938,avec pellicule,
Fex Indo Uni-Fex,France,1950,1950,,
lumière scoutbox,France,1935,1940,,
kodak modèle b11,France,1956,1961,,
kodak brownie holyday camera,USA,1953,1962,,
Dacora daco,Allemagne,1949,1950,,
Gevaert Gevabox,Allemagne,1955,1955,,
miom photax IV F,France ,1951,1961,,
Kodak brownie flash,France,1955,1960,,
Kodak brownie starlet ,France,1960,1966,,
Adox polo I,Allemagne,1960,1964,,
Kodak instamatic 104,USA,1965,1968,dans sa boite d'origine,
Dacora dacora I,Allemagne,1952,1952,,
Fex Indo Superfex (version 04),France,1945,1945,,
Precides Precides,France,1950,1950,fabriqué par maped et avec pellicule,
Prinsen flash box,Pays-Bas,1947,1950,,
Rolltex Rolltex,Allemagne,1934,1934,,
Goldy goldy,France,1948,1960,,
Zeiss Ikon Box-Tengor (54/2),Allemagne,1938,1945,,
Kodak brownie flash,France ,1955,1960,avec sa boite et un flash kodak flash d en boite,
Kodak brownie flash,France ,1955,1960,avec un kodak flash b,
Goldy goldy,France,1948,1960,,
Fex Indo Ultra-Fex (version 11),France,1950,1950,certainement mon premier ,
Phot-office box,France,1930,1930,,
Gevaert Gevabox 6x9,Allemagne,1951,1951,avec un flash agfa agfalux,
Gallus cady,France,1938,1938,,
Kodak vest pocket autographic,USA,1912,1926,le mien est de mi-1919 avec sa pochette,
folding voigtlander ,Allemagne,1927,1931,"difficile à identifier, certainemnt un de la serie rollfilm",
fex indo ultra-reflex,France,1952,1952,,
Bilora box,Allemagne,1946,1949,,
Cil junior,Hong-Kong,1969,1969,,
Dufa pionyr,Tchecoslovaquie,1940,1940,,
Fex Indo Ultra-Fex,France,1953,1953,himalaya,
Fex Indo Ultra-Fex,France,1953,1953,himalaya pas la bonne pochette,
Kodak brownie flash,France ,1955,1960,,
"Fex Indo Fex 4,5",France,1950,1950,,
Kodak six-20 Brownie c,Grande-bretagne,1946,1953,,
Kodak Brownie Target Six-20,USA,1933,1940,,
agfa box,Allemagne,1930,1940,pas de nom à identifier plus précisement data approximative,
Polaroid EE33,USA,1976,1978,,
yashica u matic,Japon,1961,1961,,
kodak modèle b11,France,1956,1961,celui de pépé qu'il m'a offert à mes 20 ans,
Kmz quartz m,URSS,1968,1971,,
kochmann korelle,Allemagne,1931,1933,acheté à douai le mien est de début 1933,
Agfa billy I,Allemagne,1953,1958,gros doute si je l'ai pas compté deux fois,
agfa isolette,Allemagne,1936,1942,le mien est de 1936-1937 (jsolette),
royer savoya,France,1958,1961,,
Voigtlander Vito CL,Allemagne,1962,1967,,
eumig c3,Autriche,1937,1954,avec pellicule achete à la longueville,
gap box 6x9,France,1948,1950,,
agfa movex automatic 1,Allemagne,1958,1963,douai,
crouzet st8,France,1960,1964,douai,
Great Wall Plastic Factory Diana,Hong-Kong,1960,1970,acheté solre le chateau (3euro),01/05/2024
Agfa Agfamatic 100 sensor,Allemagne,1972,1978,,
Appareil détective marque inconnue ,France ,1900,1900,Peut être un mazo gladiator ,
agfa iso-pak ci,Allemagne,1969,1971,brocante neuf mesnil (2 euro),12/05/2024
yashica super-40k,Japon,1971,1971,brocante neuf mesnil (15 euro),12/05/2024
Kodak Pocket Instamatic 300,Allemagne,1972,1976,ebay 1 eruo,
Photax,France,1946,1961,ebay 1 euro,
Kodak Tele-Ektra 42,Allemagne,1978,1980,ebay 1 euro,
Dacora Dacora D101 Rapid,Allemagne,1964,1964,ebay 1 euro,
Yashica mat 124 ,Japon,1968,1968,vente pousse cornet du 25 avril 2024 50 euro,23/05/2024
Zenit ttl ,URSS,1978,1980,vente pousse cornet du 25 avril 2024 30 euro,23/05/2024
dom-martin detective,France,1900,1902,leboncoin 30 euro,07/06/2024
Agfa Billy-clack n°51,Allemagne,1934,1939,Brocante maroilles,16/06/2024
Revere magazine 16 model 26 ,USA,1948,1953,Brocante maroilles,16/06/2024
Kunik petie,Allemagne,1958,1962,Brocante maroilles 15 euro,16/06/2024
Kodak brownie starlet,France,1960,1966,Brocante curgies 3 euro avec boîte,23/06/2024
yashica j,Japon,1961,1961,brocante  mons 10 euro,14/07/2024
Kuribayashi petri 7 s,Japon,1962,1973,brocante mons 10 euro meme gars que le lot qui suis,14/07/2024
Vredeborch Felica,Allemagne,1955,1957,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Haking Halina Paulette Electric,Hong-Kong,1967,1967,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Franka Solida Record T,Allemagne,1958,1962,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Agfa Box N° 50,Allemagne,1950,1952,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Vredeborch Filmor,Allemagne,1955,1955,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Fototecnica Filmor,Italie,1950,1950,brocante mons - fait parti d'un lot 20 euro,14/07/2024
 Agfa clack,Allemagne,1954,1965,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Six-20 Target Hawk-Eye,USA,1933,1934,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Agfa click-1,Allemagne,1958,1964,brocante mons - fait parti d'un lot 20 euro,14/07/2024
europco ef135,Japon,1980,1980,brocante mons - fait parti d'un lot 20 euro -modèle pas connu,14/07/2024
micona mf-165,Hong-Kong,1990,1990,brocante mons - fait parti d'un lot 20 euro - date à voir,14/07/2024
charman 2000,Chine,1985,1985,brocante mons - fait parti d'un lot 20 euro - date à voir,14/07/2024
Agfa Agfamatic 100 sensor,Allemagne,1972,1978,brocante mons - fait parti d'un lot 20 euro,14/07/2024
sunpet,Chine,1990,2000,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Instamatic 33,Allemagne,1968,1973,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Instamatic 33,Allemagne,1968,1973,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Instamatic 155x,Allemagne,1971,1977,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Instamatic 177x,Allemagne,1977,1984,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Instamatic 277x,Allemagne,1977,1985,brocante mons - fait parti d'un lot 20 euro,14/07/2024
Kodak Ektra 250,Allemagne,1980,1983,brocante mons - fait parti d'un lot 20 euro,14/07/2024
FED 2,URSS,1955,1970,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Agfa flexilette,Allemagne,1960,1964,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Zorki 10,URSS,1964,1977,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Cosmic symbol,URSS,1970,1993,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Cosmic symbol,URSS,1970,1993,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Fex indo superfex (Version 8),France,1947,1950,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Cosina cs-2,Japon,1978,1980,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Kodak starluxe II,France,1964,1967,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Kodak startech,France,1963,1963,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Revueflex 1000s,Japon,1972,1976,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Kodak retinette 1a,France,1963,1967,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Fex indo uni-fex,France ,1949,1950,Lot appareil leboncoin - ifs 25 euro,22/07/2024
"Fex indo fex 4,5",France ,1956,1964,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Chinon cm-4s,Japon,1981,1982,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Aka arette a,Allemagne,1959,1959,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Miom photax III VA,France,1955,1961,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Voigtländer bessy k,Allemagne,1965,1967,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Coronet bobox,France,1936,1938,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Fex indo rubi-fex,France,1962,1970,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Meta goldy box,France,1950,1950,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Kyron bx 300 afm,Hong Kong,1990,1990,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Bauchet mosquito II,France,1958,1962,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Kodak brownie Flash +kodak Flash c,France,1955,1960,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Ricoh singlex tls,Japon,1967,1972,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Agfa clack,Allemagne,1954,1965,Lot appareil leboncoin - ifs 25 euro,22/07/2024
Adox polomat 1,Allemagne,1960,1964,Lot appareil leboncoin - ifs 25 euro,22/07/2024
gap box 6x9,France,1948,1950,brocante bugnicourt -belle pochette - 4 euro,25/08/2024
roto riber lys,Italie,1950,1950,brocante bugnicourt - 5 euro,25/08/2024
belomo tchaïka 3,URSS,1971,1973,vente aux enchères du 24/07/2024 - boite d'origine - 15 euro,26/08/2024
Arsenal kiev 4m olympic,URSS,1976,1987,vente aux enchères du 24/07/2024 - boite d'origine - 45 euro,26/08/2024
Canon F-E,Japon,1987,1989,vente aux enchères du 24/07/2024 - boite d'origine - 5 euro,26/08/2024
Kodak retinette 1b,Allemagne,1959,1963,brocante guise - 1 euro,15/08/2024
Zeiss Ikon Contessa LKE,Allemagne,1963,1968,brocante guise - 2 euro,15/08/2024
"kodak bantam 4,5",USA,1938,1948,brocante guise - 2 euro,15/08/2024
pentacon pentaka 8b,Allemagne,1960,1960,brocante forest-en-cambrésie - 15 euro,08/09/2024
kodak instamatic 55x,Allemagne,1971,1972,brocante forest-en-cambrésie - 2 euro,08/09/2024
Gomz smena 8,URSS,1963,1971,brocante forest-en-cambrésie - 3 euro,08/09/2024
sony trinicon,Japon,1980,1980,brocante forest-en-cambrésie - 8 euro,08/09/2024
Lumiere scoutbox,France,1933,1935,Cadeau papa,13/09/2024
Beier Beirette vsn,Allemagne,1974,1988,braderie lille - 10 euro,14/09/2024
Foca Focasport I B (FG645),France,1961,1961,braderie lille - 10 euro,14/09/2024
Kodak instamatic 100,USA,1963,1966,brocante neuf-mesnil - lot 20 euro - boite d'origine,15/09/2024
Kodak Starlet II,USA,1967,1968,brocante neuf-mesnil - lot 20 euro,15/09/2024
Sankyo MF-404 Macro Focus,Japon,1972,1974,brocante neuf-mesnil - lot 20 euro,15/09/2024
Canon Auto Zoom 518,Japon,1968,1974,brocante neuf-mesnil - lot 20 euro,15/09/2024
phokina zoomflex,Allemagne,1968,1968,brocante neuf-mesnil - lot 20 euro,15/09/2024
Carl Zeiss Jena Werra 1e,Allemagne,1965,1965,lot jemappes - 15 euro,22/09/2024
Zenit EM,URSS,1972,1984,lot jemappes - 15 euro,22/09/2024
Eumig vienette 3,Autriche,1970,1973,brocante mons - 5 ,22/09/2024
Ihagee Exakta rtl 1000,Allemagne,1969,1973,brocante mons - 10,20/10/2024
Kodak vest pocket autographic,USA,1912,1926,1916- bourse cambrai -35 dont 20 par mon père,03/11/2024
Jojaflex JK-200,Macao,1955,1965,brocante escaudoeuvres ,03/11/2024
Voigtlander Vitoret,Allemagne,1962,1965,brocante vieux-reng-12 avec 2 pochettes,11/11/2024
Argus Autronic II,USA,1962,1965,bourse militaria wingles -15 avec flash,24/11/2024
Folding royer A,France,1954,1957,Bric a brac-5 euro avec pochette en osier ,08/12/2024
Zenit 3m,URSS,1962,1970,Bric a brac-15 euro mais avec son histoire - modele non-export ,08/12/2024
Leroy Stéréo-Panoramique,France,1905,1905,Noel 2024 - cadeau papa - objectifs manquants ,25/12/2024
Zeiss Ikon Contessamat sbe,Allemagne,1963,1967,Puce de douai - 10 euro,19/01/2025
Voigtländer Bessamatic deluxe,Allemagne,1962,1964,Puce de douai - 20 euro,19/01/2025
keystone bel air k-41,USA,1956,1960,Puce de douai - 20 euro payé par papa - avec pellicule ,19/01/2025